date,city,country,latitude,longitude,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone
2023-01-17, Asuncion,Paraguay,-25.2637,-57.5759,11.191666666666668,7.7875000000000005,288.4166666666667,5.979166666666667,0.225,35.541666666666664
2023-01-18, Asuncion,Paraguay,-25.2637,-57.5759,7.2875000000000005,5.05,180.16666666666666,1.4291666666666665,0.2125,49.5
2023-01-19, Asuncion,Paraguay,-25.2637,-57.5759,9.620833333333334,6.604166666666667,180.875,1.8666666666666665,0.23750000000000002,59.625
2023-01-20, Asuncion,Paraguay,-25.2637,-57.5759,7.795833333333333,5.354166666666667,197.91666666666666,2.2583333333333333,0.2833333333333333,57.583333333333336
2023-01-21, Asuncion,Paraguay,-25.2637,-57.5759,11.200000000000001,7.766666666666667,196.5,2.858333333333333,0.2041666666666667,32.916666666666664
2023-01-22, Asuncion,Paraguay,-25.2637,-57.5759,15.670833333333334,10.9375,225.125,3.9499999999999997,0.2041666666666667,29.083333333333332
2023-01-23, Asuncion,Paraguay,-25.2637,-57.5759,19.925,13.924999999999999,254.0,4.020833333333333,0.2333333333333333,31.375
2023-01-24, Asuncion,Paraguay,-25.2637,-57.5759,17.408333333333335,12.15,296.1666666666667,5.766666666666667,0.2541666666666667,33.5
2023-01-25, Asuncion,Paraguay,-25.2637,-57.5759,14.041666666666666,9.808333333333334,323.75,8.454166666666667,0.19999999999999998,26.083333333333332
2023-01-26, Asuncion,Paraguay,-25.2637,-57.5759,12.416666666666666,8.666666666666666,231.20833333333334,4.695833333333334,0.22916666666666666,49.375
2023-01-27, Asuncion,Paraguay,-25.2637,-57.5759,9.924999999999999,6.875,219.41666666666666,4.5125,0.3458333333333334,57.791666666666664
2023-01-28, Asuncion,Paraguay,-25.2637,-57.5759,13.704166666666666,9.541666666666666,223.79166666666666,3.75,0.5583333333333333,71.04166666666667
2023-01-29, Asuncion,Paraguay,-25.2637,-57.5759,24.479166666666668,17.075,266.875,4.154166666666667,0.44166666666666665,66.79166666666667
2023-01-30, Asuncion,Paraguay,-25.2637,-57.5759,16.2625,11.387500000000001,234.91666666666666,3.2083333333333335,0.17083333333333336,36.291666666666664
2023-01-31, Asuncion,Paraguay,-25.2637,-57.5759,12.045833333333334,8.441666666666666,281.9583333333333,4.4750000000000005,0.17500000000000002,28.0
2023-02-01, Asuncion,Paraguay,-25.2637,-57.5759,13.270833333333334,9.295833333333333,281.375,4.016666666666667,0.2041666666666667,29.25
2023-02-02, Asuncion,Paraguay,-25.2637,-57.5759,13.333333333333334,9.362499999999999,259.8333333333333,3.845833333333333,0.1625,16.916666666666668
2023-02-03, Asuncion,Paraguay,-25.2637,-57.5759,16.075,11.141666666666666,224.875,3.1291666666666664,0.4375,45.666666666666664
2023-02-04, Asuncion,Paraguay,-25.2637,-57.5759,12.595833333333333,8.725,183.83333333333334,3.1208333333333336,0.37083333333333335,49.166666666666664
2023-02-05, Asuncion,Paraguay,-25.2637,-57.5759,20.804166666666667,14.291666666666666,238.91666666666666,4.645833333333333,0.5833333333333334,52.916666666666664
2023-02-06, Asuncion,Paraguay,-25.2637,-57.5759,15.829166666666666,10.895833333333334,224.375,4.0874999999999995,0.3666666666666667,43.083333333333336
2023-02-07, Asuncion,Paraguay,-25.2637,-57.5759,22.766666666666666,15.816666666666668,176.16666666666666,1.9708333333333332,0.37916666666666665,39.416666666666664
2023-02-08, Asuncion,Paraguay,-25.2637,-57.5759,13.554166666666667,9.420833333333333,163.375,1.6875,0.26666666666666666,29.791666666666668
2023-02-09, Asuncion,Paraguay,-25.2637,-57.5759,16.283333333333335,11.333333333333334,188.95833333333334,2.35,0.275,35.916666666666664
2023-02-10, Asuncion,Paraguay,-25.2637,-57.5759,27.854166666666668,19.3875,299.25,5.0125,0.5041666666666667,52.458333333333336
2023-02-11, Asuncion,Paraguay,-25.2637,-57.5759,9.737499999999999,6.758333333333333,200.91666666666666,2.1875,0.17916666666666667,48.5
